Horizontal,Vertical,Vertical Rack Parked Wrong,Time,Location
31,9,5,6:00 PM,Noble Library
38,12,7,6:00 PM,Noble Library
5,0,0,1:00 AM,Noble Library
28,0,0,11:55 AM,Schwada building
30,0,0,5:00 PM,Schwada building
29,0,0,10:00 AM,Schwada building
12,0,0,10:00 AM,Schwada building
17,0,0,7:00 PM,Schwada building
26,0,0,10:10 AM,Schwada building
8,0,0,5:35 PM,Schwada building
5,0,0,11:55 AM,Armstrong Hall
11,0,0,5:00 PM,Armstrong Hall
7,0,0,10:00 AM,Armstrong Hall
20,0,0,10:05 AM,Armstrong Hall
2,1,0,7:00 PM,Armstrong Hall
6,0,0,10:10 AM,Armstrong Hall
8,0,0,5:35 PM,Armstrong Hall
0,4,2,11:55 AM,Bulldog Hall
2,0,0,5:00 PM,Bulldog Hall
0,1,1,10:00 AM,Bulldog Hall
0,1,0,10:00 AM,Bulldog Hall
1,0,0,7:00 PM,Bulldog Hall
0,0,0,10:10 AM,Bulldog Hall
0,2,1,5:35 PM,Bulldog Hall
0,10,4,6:00 PM,CAVC
2,13,5,16:00,CAVC
2,4,2,4:45 PM,CAVC
5,2,0,12:00,Light Rail
2,0,0,11:45 AM,Light Rail
4,2,0,6:00 AM,Light Rail
3,1,0,5:00 PM,Light Rail
3,0,0,11:30 PM,Light Rail
8,3,0,11:00 AM,Center Point A
7,2,0,3:00 PM,Center Point A
6,1,0,6:00 PM,Center Point A
4,2,0,6:00 PM,Center Point A
31,24,11,5:00 PM,Tooker/Palo Verde West
38,7,3,5:00 PM,Palo Verde East
